libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
responsable d'ordonnancement,http://www.onisep.fr/http/redirection/metier/identifiant/10320,Les métiers de l'électronique et de la robotique,Parcours,2015,9782273012317,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H1401,Management et ingénierie gestion industrielle et logistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1401
matelot à la pêche,http://www.onisep.fr/http/redirection/metier/identifiant/10317,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"B : Pêche, Mer",N3102,Equipage de la navigation maritime,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N3102
avocat / avocate,http://www.onisep.fr/http/redirection/metier/identifiant/10308,Les métiers du droit,Parcours,2016,9782273012843,"W : Droit, enseignement, recherche en sciences humaines",K1903,Défense et conseil juridique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1903
notaire,http://www.onisep.fr/http/redirection/metier/identifiant/10304,Les métiers de l'immobilier,Parcours,2018,9782273013918,"W : Droit, enseignement, recherche en sciences humaines",K1901,Aide et médiation judiciaire,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901
psychologue,http://www.onisep.fr/http/redirection/metier/identifiant/10300,Les métiers du social,Parcours,2015,9782273012300,"R : Santé, social, soins personnels",K2112,Orientation scolaire et professionnelle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2112
botaniste,http://www.onisep.fr/http/redirection/metier/identifiant/10280,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",K2402,"Recherche en sciences de l'univers, de la matière et du vivant",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402
sous-officier / sous-officière de l'armée de terre,http://www.onisep.fr/http/redirection/metier/identifiant/10276,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1701,Personnel de la Défense,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1701
plâtrier / plâtrière,http://www.onisep.fr/http/redirection/metier/identifiant/10031,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1601,"Application et décoration en plâtre, stuc et staff",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1601
solier-moquettiste / solière-moquettiste,http://www.onisep.fr/http/redirection/metier/identifiant/10033,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1609,Pose de revêtements souples,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1609
diététicien / diététicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10228,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1402,Diététique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1402
auxiliaire de puériculture,http://www.onisep.fr/http/redirection/metier/identifiant/10226,Les métiers des associations de l'aide et du soin à domicile,Zoom,2017,9782273013628,"R : Santé, social, soins personnels",J1304,Aide en puériculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1304
aide-soignant / aide-soignante,http://www.onisep.fr/http/redirection/metier/identifiant/10224,Les métiers des associations de l'aide et du soin à domicile,Zoom,2017,9782273013628,"R : Santé, social, soins personnels",J1501,"Soins d'hygiène, de confort du patient",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1501
gérant / gérante de restauration collective,http://www.onisep.fr/http/redirection/metier/identifiant/10156,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1404,Management d'établissement de restauration collective,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1404
pharmacien / pharmacienne,http://www.onisep.fr/http/redirection/metier/identifiant/10219,Les métiers du médical,Parcours,2018,9782273013857,"R : Santé, social, soins personnels",J1202,Pharmacie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1202
enseignant spécialisé / enseignante spécialisée,http://www.onisep.fr/http/redirection/metier/identifiant/10213,Les métiers auprès des enfants,Parcours,2015,9782273012294,"W : Droit, enseignement, recherche en sciences humaines",K2109,Enseignement technique et professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2109
